Country.KG,Aroma.Avg.KG,Flavor.Avg.KG,Aftertaste.Avg.KG,Acidity.Avg.KG,Body.Avg.KG,Balance.Avg.KG,Uniformity.Avg.KG,Clean.Cup.Avg.KG,Sweetness.Avg.KG,Cupper.Points.Avg.KG,Total.Cup.Points.Avg.KG
Ethiopia,7.98129271,8.091096383,7.943307908,8.069201869,7.968237686,8.016363347,9.926298065,9.991582456,9.894512412,8.122270874,86.00416371
Papua New Guinea,8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,85.74
Japan,7.75,7.75,7.75,7.42,8.08,7.83,10,10,10,8.08,84.66
Kenya,7.750271608,7.72637066,7.679235065,7.80498733,7.717135546,7.735653778,9.998006457,9.998006457,9.998006457,7.631238972,84.03891233
Uganda,7.865624176,7.705052607,7.570033089,7.671058346,7.639340537,7.659761135,10,10,10,7.720227232,83.83109712
Ecuador,7.5,7.67,7.58,7.75,7.83,7.83,10,10,10,7.67,83.83
China,7.743494086,7.727315742,7.572838944,7.657370337,7.628325751,7.643694268,9.990245678,9.990245678,9.989636033,7.741392175,83.68455869
Panama,7.672874494,7.604048583,7.56291498,7.654898785,7.549433198,7.888663968,10,10,10,7.578137652,83.51097166
Thailand,7.52270191,7.593101242,7.598817202,7.673602652,7.666124265,7.587656044,9.999929697,9.999943842,9.99994342,7.587982646,83.22980292
Colombia,7.668213301,7.602065461,7.523361963,7.571091177,7.616412644,7.708301762,9.977722368,9.968511913,9.97362375,7.617654342,83.22695868
Costa Rica,7.674231418,7.524186829,7.517001935,7.494346563,7.400122299,7.548046058,9.994081165,9.994403817,9.999405899,7.725702852,82.87152884
Philippines,7.578416988,7.57011583,7.66030888,7.569189189,7.493783784,7.498069498,9.997413127,10,9.997413127,7.492316602,82.85702703
United States,7.422065079,7.582639393,7.253237734,7.5025312,7.75104472,7.75105473,10,10,10,7.582130044,82.8447029
Rwanda,7.83,7.92,7.75,7.83,7.75,7.75,9.33,9.33,9.33,8,82.82
Indonesia,7.570436744,7.618576671,7.493834446,7.687145521,7.73177104,7.647163569,9.878478614,9.879083198,9.999395416,7.282046562,82.78793178
El Salvador,7.567835274,7.596244821,7.559567919,7.648863698,7.534242457,7.628828814,9.997376614,9.944272927,9.800740338,7.472333164,82.75030603
Vietnam,7.459,7.516,7.366,7.449,7.634,7.534,9.733,10,10,7.768,82.459
"Tanzania, United Republic Of",7.537450213,7.430557154,7.408058018,7.502398987,7.488025786,7.452500288,10,10,10,7.512800737,82.33179118
Laos,7.607406297,7.584957521,7.357446277,7.357486257,7.357571214,7.437531234,10,10,10,7.517491254,82.21989005
Peru,7.853963088,7.519551834,7.441740633,7.585293668,7.907463547,7.625856172,9.367361216,9.647232051,9.697260704,7.438106461,82.08382938
Taiwan,7.565413499,7.494332758,7.425522646,7.483372359,7.520757964,7.475060404,9.900345165,9.962498251,9.925323009,7.316010542,82.0686366
Guatemala,7.581185571,7.510962576,7.265148975,7.62254822,7.46379537,7.455498666,9.892036044,9.944001881,9.930360348,7.386836982,82.05237463
Brazil,7.501936743,7.501707858,7.42300167,7.489320743,7.521501238,7.455800631,9.791761135,9.773903743,9.965599662,7.53420377,81.95873719
Zambia,7.67,7.08,7.42,7.33,7.75,7.42,10,10,10,7.25,81.92
United States (Hawaii),7.610088279,7.611113947,7.530704178,7.611230864,7.64793173,7.642408561,9.510545176,9.479718727,9.626074944,7.631327361,81.90114377
United States (Puerto Rico),7.647183099,7.54056338,7.477323944,7.599295775,7.663802817,7.644929577,8.985915493,9.66028169,9.839577465,7.650704225,81.70957746
Burundi,7.363461538,7.427692308,7.237692308,7.401923077,7.257692308,7.363461538,10,10,10,7.541538462,81.59346154
Malawi,7.576714542,7.298725314,7.279748654,7.199766607,7.319317774,7.318168761,10,10,10,7.283357271,81.27579892
Myanmar,7.365789474,7.310526316,7.092105263,7.411578947,7.253157895,7.086842105,10,10,10,7.153684211,80.67368421
Mauritius,7.25,7.25,7.17,7.17,7.25,7.17,10,10,10,7.25,80.51
Mexico,7.466065008,7.303639585,7.156587905,7.368762918,7.354634361,7.310444375,9.51753836,9.59717306,9.732755405,7.297102877,80.10470385
Cote d'Ivoire,7.42,7.25,6.83,7,7.33,7.08,9.33,10,10,7.08,79.32
Nicaragua,7.306004603,7.226669314,7.079147974,7.15377674,7.274390559,7.090538404,9.496586225,9.458265942,9.535487119,7.123231497,78.74409838
Honduras,7.20778527,7.210693276,7.020642244,7.163462194,7.195523738,7.135096674,9.56138737,9.560561852,9.562225396,7.126006927,78.74338494
India,7.67,7.33,7.17,6.67,7.17,7.42,9.33,10,6.67,7.42,76.85
Haiti,6.96903925,6.806826253,7.09668356,7.194188053,7.338745238,6.734853353,9.999542448,5.789653871,8.799879592,6.50965459,73.23906621
