Country,Variable,Value
Brazil,Aroma,7.501936743
Brazil,Flavor,7.501707858
Brazil,Aftertaste,7.42300167
Brazil,Acidity,7.489320743
Brazil,Body,7.521501238
Brazil,Balance,7.455800631
Brazil,Uniformity,9.791761135
Brazil,Clean,9.773903743
Brazil,Sweetness,9.965599662
Brazil,Cup Points,7.53420377
Burundi,Aroma,7.363461538
Burundi,Flavor,7.427692308
Burundi,Aftertaste,7.237692308
Burundi,Acidity,7.401923077
Burundi,Body,7.257692308
Burundi,Balance,7.363461538
Burundi,Uniformity,10
Burundi,Clean,10
Burundi,Sweetness,10
Burundi,Cup Points,7.541538462
China,Aroma,7.743494086
China,Flavor,7.727315742
China,Aftertaste,7.572838944
China,Acidity,7.657370337
China,Body,7.628325751
China,Balance,7.643694268
China,Uniformity,9.990245678
China,Clean,9.990245678
China,Sweetness,9.989636033
China,Cup Points,7.741392175
Colombia,Aroma,7.668213301
Colombia,Flavor,7.602065461
Colombia,Aftertaste,7.523361963
Colombia,Acidity,7.571091177
Colombia,Body,7.616412644
Colombia,Balance,7.708301762
Colombia,Uniformity,9.977722368
Colombia,Clean,9.968511913
Colombia,Sweetness,9.97362375
Colombia,Cup Points,7.617654342
Costa Rica,Aroma,7.674231418
Costa Rica,Flavor,7.524186829
Costa Rica,Aftertaste,7.517001935
Costa Rica,Acidity,7.494346563
Costa Rica,Body,7.400122299
Costa Rica,Balance,7.548046058
Costa Rica,Uniformity,9.994081165
Costa Rica,Clean,9.994403817
Costa Rica,Sweetness,9.999405899
Costa Rica,Cup Points,7.725702852
Cote d'Ivoire,Aroma,7.42
Cote d'Ivoire,Flavor,7.25
Cote d'Ivoire,Aftertaste,6.83
Cote d'Ivoire,Acidity,7
Cote d'Ivoire,Body,7.33
Cote d'Ivoire,Balance,7.08
Cote d'Ivoire,Uniformity,9.33
Cote d'Ivoire,Clean,10
Cote d'Ivoire,Sweetness,10
Cote d'Ivoire,Cup Points,7.08
Ecuador,Aroma,7.5
Ecuador,Flavor,7.67
Ecuador,Aftertaste,7.58
Ecuador,Acidity,7.75
Ecuador,Body,7.83
Ecuador,Balance,7.83
Ecuador,Uniformity,10
Ecuador,Clean,10
Ecuador,Sweetness,10
Ecuador,Cup Points,7.67
El Salvador,Aroma,7.567835274
El Salvador,Flavor,7.596244821
El Salvador,Aftertaste,7.559567919
El Salvador,Acidity,7.648863698
El Salvador,Body,7.534242457
El Salvador,Balance,7.628828814
El Salvador,Uniformity,9.997376614
El Salvador,Clean,9.944272927
El Salvador,Sweetness,9.800740338
El Salvador,Cup Points,7.472333164
Ethiopia,Aroma,7.98129271
Ethiopia,Flavor,8.091096383
Ethiopia,Aftertaste,7.943307908
Ethiopia,Acidity,8.069201869
Ethiopia,Body,7.968237686
Ethiopia,Balance,8.016363347
Ethiopia,Uniformity,9.926298065
Ethiopia,Clean,9.991582456
Ethiopia,Sweetness,9.894512412
Ethiopia,Cup Points,8.122270874
Guatemala,Aroma,7.581185571
Guatemala,Flavor,7.510962576
Guatemala,Aftertaste,7.265148975
Guatemala,Acidity,7.62254822
Guatemala,Body,7.46379537
Guatemala,Balance,7.455498666
Guatemala,Uniformity,9.892036044
Guatemala,Clean,9.944001881
Guatemala,Sweetness,9.930360348
Guatemala,Cup Points,7.386836982
Haiti,Aroma,6.96903925
Haiti,Flavor,6.806826253
Haiti,Aftertaste,7.09668356
Haiti,Acidity,7.194188053
Haiti,Body,7.338745238
Haiti,Balance,6.734853353
Haiti,Uniformity,9.999542448
Haiti,Clean,5.789653871
Haiti,Sweetness,8.799879592
Haiti,Cup Points,6.50965459
Honduras,Aroma,7.20778527
Honduras,Flavor,7.210693276
Honduras,Aftertaste,7.020642244
Honduras,Acidity,7.163462194
Honduras,Body,7.195523738
Honduras,Balance,7.135096674
Honduras,Uniformity,9.56138737
Honduras,Clean,9.560561852
Honduras,Sweetness,9.562225396
Honduras,Cup Points,7.126006927
India,Aroma,7.67
India,Flavor,7.33
India,Aftertaste,7.17
India,Acidity,6.67
India,Body,7.17
India,Balance,7.42
India,Uniformity,9.33
India,Clean,10
India,Sweetness,6.67
India,Cup Points,7.42
Indonesia,Aroma,7.570436744
Indonesia,Flavor,7.618576671
Indonesia,Aftertaste,7.493834446
Indonesia,Acidity,7.687145521
Indonesia,Body,7.73177104
Indonesia,Balance,7.647163569
Indonesia,Uniformity,9.878478614
Indonesia,Clean,9.879083198
Indonesia,Sweetness,9.999395416
Indonesia,Cup Points,7.282046562
Japan,Aroma,7.75
Japan,Flavor,7.75
Japan,Aftertaste,7.75
Japan,Acidity,7.42
Japan,Body,8.08
Japan,Balance,7.83
Japan,Uniformity,10
Japan,Clean,10
Japan,Sweetness,10
Japan,Cup Points,8.08
Kenya,Aroma,7.750271608
Kenya,Flavor,7.72637066
Kenya,Aftertaste,7.679235065
Kenya,Acidity,7.80498733
Kenya,Body,7.717135546
Kenya,Balance,7.735653778
Kenya,Uniformity,9.998006457
Kenya,Clean,9.998006457
Kenya,Sweetness,9.998006457
Kenya,Cup Points,7.631238972
Laos,Aroma,7.607406297
Laos,Flavor,7.584957521
Laos,Aftertaste,7.357446277
Laos,Acidity,7.357486257
Laos,Body,7.357571214
Laos,Balance,7.437531234
Laos,Uniformity,10
Laos,Clean,10
Laos,Sweetness,10
Laos,Cup Points,7.517491254
Malawi,Aroma,7.576714542
Malawi,Flavor,7.298725314
Malawi,Aftertaste,7.279748654
Malawi,Acidity,7.199766607
Malawi,Body,7.319317774
Malawi,Balance,7.318168761
Malawi,Uniformity,10
Malawi,Clean,10
Malawi,Sweetness,10
Malawi,Cup Points,7.283357271
Mauritius,Aroma,7.25
Mauritius,Flavor,7.25
Mauritius,Aftertaste,7.17
Mauritius,Acidity,7.17
Mauritius,Body,7.25
Mauritius,Balance,7.17
Mauritius,Uniformity,10
Mauritius,Clean,10
Mauritius,Sweetness,10
Mauritius,Cup Points,7.25
Mexico,Aroma,7.466065008
Mexico,Flavor,7.303639585
Mexico,Aftertaste,7.156587905
Mexico,Acidity,7.368762918
Mexico,Body,7.354634361
Mexico,Balance,7.310444375
Mexico,Uniformity,9.51753836
Mexico,Clean,9.59717306
Mexico,Sweetness,9.732755405
Mexico,Cup Points,7.297102877
Myanmar,Aroma,7.365789474
Myanmar,Flavor,7.310526316
